epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.51625,2.98899,4.27369,2.37903,0.00455,0.09091,0.02261,0.0128,2.58358,4.15272,2.17281,6.67e-06,6.67e-06,6.67e-06
2,7.17101,2.8417,4.29833,2.1323,0.00551,0.09091,0.02584,0.01354,2.60511,4.11431,2.1517,1.8029e-05,1.8029e-05,1.8029e-05
3,10.2854,2.88145,4.35229,2.22205,0.00551,0.09091,0.02584,0.01354,2.60511,4.11431,2.1517,2.67467e-05,2.67467e-05,2.67467e-05
4,14.945,2.78764,4.30888,2.27997,0.00791,0.09091,0.03618,0.01697,2.4237,4.10874,2.06181,3.28231e-05,3.28231e-05,3.28231e-05
5,18.3849,2.62571,4.40752,2.09748,0.00791,0.09091,0.03618,0.01697,2.4237,4.10874,2.06181,3.62581e-05,3.62581e-05,3.62581e-05
6,22.0379,2.33024,4.35539,1.75477,0.00791,0.09091,0.03618,0.01697,2.4237,4.10874,2.06181,3.70518e-05,3.70518e-05,3.70518e-05
7,25.2807,2.57289,4.36019,2.10091,0.00791,0.09091,0.03618,0.01697,2.4237,4.10874,2.06181,3.52043e-05,3.52043e-05,3.52043e-05
8,29.0859,2.36845,4.11069,2.16124,0.00791,0.09091,0.03618,0.01697,2.4237,4.10874,2.06181,3.07154e-05,3.07154e-05,3.07154e-05
9,32.9328,2.88644,4.42395,2.18692,0.00791,0.09091,0.03618,0.01697,2.4237,4.10874,2.06181,2.35851e-05,2.35851e-05,2.35851e-05
10,35.8962,2.46194,4.24789,2.1332,0.00791,0.09091,0.03618,0.01697,2.4237,4.10874,2.06181,1.38136e-05,1.38136e-05,1.38136e-05
